19
Color index: 2.85, color rate: 0.15, trans_rate: 2.4
Color index: 3, color rate: 0.15, trans_rate: 2.4
Color index: 15 errorper: 0.693333259825error: 101.134764353
Color index: 3.6, color rate: 0.6, trans_rate: 9.75
Color index: 4.2, color rate: 0.6, trans_rate: 9.75
Color index: 4.8, color rate: 0.6, trans_rate: 9.75
Color index: 5.4, color rate: 0.6, trans_rate: 9.75
Color index: 6.0, color rate: 0.6, trans_rate: 9.75
Color index: 6.6, color rate: 0.6, trans_rate: 9.75
Color index: 7.2, color rate: 0.6, trans_rate: 9.75
Color index: 7.8, color rate: 0.6, trans_rate: 9.75
Color index: 8.4, color rate: 0.6, trans_rate: 9.75
Color index: 9.0, color rate: 0.6, trans_rate: 9.75
Color index: 9.6, color rate: 0.6, trans_rate: 9.75
Color index: 10.2, color rate: 0.6, trans_rate: 9.75
Color index: 10.8, color rate: 0.6, trans_rate: 9.75
Color index: 11.4, color rate: 0.6, trans_rate: 9.75
Color index: 12.0, color rate: 0.6, trans_rate: 9.75
Color index: 12.6, color rate: 0.6, trans_rate: 9.75
Color index: 13.2, color rate: 0.6, trans_rate: 9.75
Color index: 13.8, color rate: 0.6, trans_rate: 9.75
Color index: 14.4, color rate: 0.6, trans_rate: 9.75
Color index: 15, color rate: 0.6, trans_rate: 9.75
Color index: 2 errorper: 0.703447810815error: -31.4000788879
Color index: 14.35, color rate: -0.65, trans_rate: -10.45
Color index: 13.7, color rate: -0.65, trans_rate: -10.45
Color index: 13.05, color rate: -0.65, trans_rate: -10.45
Color index: 12.4, color rate: -0.65, trans_rate: -10.45
Color index: 11.75, color rate: -0.65, trans_rate: -10.45
Color index: 11.1, color rate: -0.65, trans_rate: -10.45
Color index: 10.45, color rate: -0.65, trans_rate: -10.45
Color index: 9.8, color rate: -0.65, trans_rate: -10.45
Color index: 9.15, color rate: -0.65, trans_rate: -10.45
Color index: 8.5, color rate: -0.65, trans_rate: -10.45
Color index: 7.85, color rate: -0.65, trans_rate: -10.45
Color index: 7.2, color rate: -0.65, trans_rate: -10.45
Color index: 6.55, color rate: -0.65, trans_rate: -10.45
Color index: 5.9, color rate: -0.65, trans_rate: -10.45
Color index: 5.25, color rate: -0.65, trans_rate: -10.45
Color index: 4.6, color rate: -0.65, trans_rate: -10.45
Color index: 3.95, color rate: -0.65, trans_rate: -10.45
Color index: 3.3, color rate: -0.65, trans_rate: -10.45
Color index: 2.65, color rate: -0.65, trans_rate: -10.45
Color index: 2.0, color rate: -0.65, trans_rate: -10.45
Color index: 2, color rate: -0.65, trans_rate: -10.45
Color index: 10 errorper: 0.115054537219error: 16.7827135717
Color index: 2.4, color rate: 0.4, trans_rate: 6.15
Color index: 2.8, color rate: 0.4, trans_rate: 6.15
Color index: 3.2, color rate: 0.4, trans_rate: 6.15
Color index: 3.6, color rate: 0.4, trans_rate: 6.15
Color index: 4.0, color rate: 0.4, trans_rate: 6.15
Color index: 4.4, color rate: 0.4, trans_rate: 6.15
Color index: 4.8, color rate: 0.4, trans_rate: 6.15
Color index: 5.2, color rate: 0.4, trans_rate: 6.15
Color index: 5.6, color rate: 0.4, trans_rate: 6.15
